都道府県,Ｃ鉱業、採石業、砂利採取業,Ｄ建設業,Ｅ製造業,Ｆ電気・ガス・熱供給・水道業,Ｇ情報通信業,Ｈ運輸業、郵便業,Ｉ卸売業、小売業,Ｊ金融業、保険業,Ｋ不動産業、物品賃貸業,Ｌ学術研究、専門・技術サービス業,Ｍ宿泊業、飲食サービス業,Ｎ生活関連サービス業、娯楽業,Ｏ教育、学習支援業,Ｐ医療、福祉,Ｑ複合サービス事業,Ｒサービス業（他に分類されないもの）
北海道,300.9,287.9,238.5,366,316.7,239.6,276.9,317.4,273.5,325,207,225.8,357.8,273,272.7,227.7
青森,281.6,244.3,222.5,397.1,283.7,239.5,230.8,300.7,262.5,284.8,192.4,233.2,329.8,232.3,257.2,198.2
岩手,237.6,257.1,221.3,351.3,281.3,220.6,229.4,314.9,244.4,301.4,191.4,209.8,288.1,242.2,262.5,206.8
宮城,268,340.2,259,427.1,355.6,265.9,281.5,354.3,296.5,360.6,226.1,238.8,375.5,246.9,282.2,231.8
秋田,296.2,253.7,217.1,356.5,321.5,234.7,246.4,306.2,245.7,279.1,188.4,209.5,299.6,253.9,276.2,205.7
山形,279.3,250.5,231.5,369.4,316.4,232.1,244.7,298.4,269.3,290.4,197.9,220.1,308.2,246.1,261.5,211.1
福島,263,287.8,253,440.3,302.1,254.6,253.8,324.4,271.7,312.6,215.2,222.9,287.7,256.8,276.7,219
茨城,292.1,303.2,304.2,382.1,322.6,274.7,285.5,334.1,276,436.3,231.4,251.9,387.8,275.7,280.9,241.4
栃木,294.9,324.1,293.3,442.4,333.9,254.8,276.9,337.4,281.1,374.6,238.2,237.4,313,283.3,271.9,229.3
群馬,296.3,293.9,289.1,454.9,312.2,257.4,278.4,338.5,269.1,347.3,244.1,247.3,343.5,265.1,274.3,233.5
埼玉,280.7,336,292.9,419.9,340.4,287.5,295.8,335.2,310.3,367,244.8,268.1,370.4,296.4,299.5,262
千葉,378.6,303.7,303.6,419.4,366.1,275.2,292.3,352.8,307.6,370.4,240.8,282.3,393.8,289.1,292.3,253.3
東京,507.5,430.9,392.8,437.6,399,351.3,373.2,441.1,375.3,389.8,295.8,306.3,413.9,314.4,348.5,301.1
神奈川,323.1,389.7,345.1,454.8,386.5,294.7,320.1,356.3,343.5,428.6,267.4,264.4,389.4,315.6,305.4,255
新潟,331.5,278.4,244.3,391.1,310.8,251.4,253,328.6,264,295.1,213.6,226.7,337.3,265,279.8,225.3
富山,285.9,310.1,270.1,409.7,300.5,265.5,269.2,315.2,249,290.9,226.4,240.6,309.2,308.8,296.3,227.5
石川,285.5,289.7,270.5,394.6,323.3,256.3,258.7,321.6,270.8,308.6,221.5,243.7,365.3,284,306.6,233.4
福井,341.1,317.1,266.8,378,298.9,268.6,256.5,325.8,263.7,309.4,214.1,240.3,342.1,254.9,284.2,223.3
山梨,275.7,328.3,290.3,438.4,341.7,271.9,265.6,349.3,246.3,288.6,226.5,248.7,344,265.1,271.3,238.9
長野,274.1,295.6,287,414.5,321.5,245.9,269.7,348.2,266.1,313.6,233.2,257.4,334.5,279.6,275.1,232.3
岐阜,255.6,338,275.5,413,348.9,262.6,287.7,340.4,262.7,306.1,226.7,241,338.5,262.1,291.8,239.8
静岡,231.6,326.5,294.8,426.5,314.5,268.1,293.4,338.3,282.3,330.3,242.5,240.2,337.1,266.6,304.1,234.1
愛知,263.2,337.8,317.4,426,331.8,281.4,319.1,349,329.9,365.4,269.3,266.6,420.3,289.7,315.3,251.1
三重,298.5,335,307.5,390.1,292.1,265.3,283.2,348,271.5,335.9,233.9,253.4,351.6,270.9,284.1,257.5
滋賀,261.6,301.7,308.1,374,295.7,266.9,280.7,342,278,344.9,236.8,261.5,418.6,260.7,299.3,231
京都,309.3,308.3,311.6,375.4,349.8,251,288.7,335.8,285.5,399,251.7,261.7,436.9,289.2,283,257.5
大阪,328.4,361.1,326.8,392.7,361.8,299.8,333.6,371.1,334,373,279.9,291.6,396.3,308.5,310.5,259.6
兵庫,311.6,326.8,305.2,368.2,347.7,284.4,298.8,348.9,294.6,354.7,239.2,254.9,372.9,290.9,297.1,231.2
奈良,298.1,341.6,284.8,369,332.5,289.4,273.7,357.5,309.7,331.4,240.6,248.9,385.5,297.6,294.8,252.2
和歌山,272.6,310.4,270.3,368.4,296.7,255.2,267.1,328.2,273.7,301.4,217.2,247,362.1,261.2,268.3,243.3
鳥取,229.3,252,234.3,402.1,265.5,253.5,240.9,300,232.3,275,209.8,216.2,319.6,262.3,259,202.6
島根,262.4,280.5,251.6,409.6,280.1,227.1,242.6,281.6,241.1,309.2,190.2,229.4,335.8,232.5,254.8,210.1
岡山,268.1,303.3,270.9,381.8,294.3,272.4,258.4,323.2,262.6,307.1,233.5,232,362.2,294,289.7,225.9
広島,309.2,325.7,278.3,443.9,315.2,268.8,286.2,343.8,291.3,308.2,224.3,241.9,378.9,274,300.2,244.4
山口,273.4,303.7,285.8,393.4,305.9,235.5,251,317.3,235.6,319.7,211.8,224.9,313.6,268.9,277.2,223
徳島,212,277.1,268.7,401.2,337.6,243.6,249.4,348.6,230.8,296.6,228.1,241.6,381.6,260.2,262,213.1
香川,292.3,308.6,258.4,430.6,329.9,249.2,281.1,349.4,255.8,340,226,244.5,306.3,265.5,278.1,238.7
愛媛,206.9,299.1,261.7,380.3,326.4,241.1,236.4,336.6,233.6,324.3,197.8,226.9,326.1,256.9,265,209.4
高知,282.8,272.9,232.4,391.2,315.2,273.1,248,337.3,217.1,328.3,199.4,230.7,320.1,256.1,251.4,201.7
福岡,282.5,311.2,265.9,416.8,326.3,253,274.6,343.1,277.1,340,221.8,237.5,356,276.1,293.5,227.5
佐賀,230.3,273.8,244.8,378.1,296.6,242.9,230.9,308.9,246,297.6,191.6,216.1,313.6,244.1,266.9,206.3
長崎,220.5,273.5,241,366.8,326.5,228,256,301.8,221.4,262.7,202.9,241.9,324.7,252.5,273.3,220.2
熊本,234.3,273.8,254.3,371.5,310.9,238.4,254.7,321,236.9,302.2,206.5,217.1,325,251.6,266.4,208.5
大分,291.7,254.8,251,370.9,297.9,230.2,245.4,312.6,233.1,276.4,201,217.9,343.9,245.4,262.7,203.6
宮崎,222,238.6,222.3,373.8,290.4,226,232.5,317.6,233.7,281.8,195.3,216.8,305.9,225.9,246.8,201.7
鹿児島,284.1,264.2,250.1,411.3,327.6,227,248,327,247.2,281.6,190,225.8,324.6,237.2,231.1,211.4
沖縄,295.2,264,211,439.2,240,203.9,222.1,288.3,227.8,246.2,190.9,205.7,340.8,248.6,244.7,191.3
